id;name;address;catch_phrase;ceo;phone;email;exchange
PATT;Patterson-Brown;05950 Rodney ThroughwayNew Patrick, WV 86512;Stand-alone background groupware;Carlos Cohen;(893)629-8206x54642;christopher20@holder-williams.com;NASDAQ
RUBI;Rubio and Sons;7421 Olson OrchardChavezmouth, HI 75883;Open-architected high-level ability;Lucas Scott;(786)274-6765;claytonkathy@cook.com;DAX
OB;Obrien, Summers and Cox;8693 Michael Court Suite 051Darrenville, MA 70105;Ergonomic multi-state productivity;Sara Allen;(244)584-2290;cmacias@johnson.com;DAX
ROCH;Rocha, Tapia and Graves;USCGC GilbertFPO AA 65876;Down-sized client-server system engine;Rebecca Williams;+1-231-206-9303x9325;harry84@brooks.net;FTSE
YO;Young and Sons;31541 Hall ForgesNew Christine, IL 62451;Upgradable tangible projection;Kristie Harrison;+1-369-776-9265x3590;harrisjanice@greene-weaver.com;DAX
SMIT;Smith-Wright;65268 Sharon FortDavidside, NH 68773;Object-based actuating interface;Kevin Romero;(605)074-2038;maryanderson@spence.com;DAX
CAM;Campbell-Villa;66045 Wells OrchardClaytonport, OH 62822;Open-architected disintermediate pricing structure;Richard Calhoun;(508)315-9273;alison48@norris.com;DAX
WH;White-Maddox;30721 Berry PlainsFlorestown, LA 28331;Organized regional process improvement;Kimberly Hill;(060)562-6952x38158;lwatson@hughes.info;NASDAQ
GR;Graves LLC;USNS WilsonFPO AE 45911;Multi-layered grid-enabled emulation;Destiny Lamb;001-268-944-9254x45596;nrussell@campbell-mooney.info;DOW-JONES
MCBR;Mcbride-Sherman;229 Derrick Walk Apt. 026Flowersstad, CO 67349;Down-sized user-facing hierarchy;Erin Miles;853.278.0537x63401;barbara07@bryant.com;FTSE
SW;Sweeney-Garcia;853 Grant OverpassLewismouth, WV 90402;Front-line didactic algorithm;Megan Fowler;(901)748-5622;margaret08@phelps-palmer.com;FTSE
BE;Benton-Gates;4250 Nguyen HillWest Kirsten, ND 11730;Cloned value-added middleware;Catherine Morris;080-074-4157;leslie54@diaz.com;FTSE
RIC;Rice LLC;561 Scott HillsFostermouth, CT 40266;Object-based 5thgeneration website;Gloria Payne;001-844-934-1177x140;pjimenez@arnold.com;DOW-JONES
HO;Holloway-Johnson;48901 Shawn Island Suite 354Maloneshire, RI 26924;Secured attitude-oriented firmware;Mark Booth;+1-363-233-6813x8364;soniataylor@hines-grant.com;DAX
JAC;Jackson PLC;5603 Kevin Isle Suite 000Stevenchester, NH 60196;Networked mobile help-desk;Stephen Bray;9603572759;xhurley@aguirre.com;DOW-JONES
AY;Ayala, Kelly and King;PSC 2921, Box 6803APO AA 86275;Multi-layered user-facing project;Amanda Wilson;265-114-6441x06179;jeremiah59@farrell-scott.com;NASDAQ
